fecha,region,categoria,producto,unidades,precio,descuento,canal
28/06/2024,Cali,Hogar,Licuadora,1,164167,0.15,Tienda Fisica
2024-06-02,Medellin,Ropa,Camiseta,11,40744,0.29,E-commerce
2024-10-19,Bucaramanga,Electronica,Smartwatch,20,749490,0.33,App Movil
2024-06-15,Bogota,Electronica,Laptop,12,3179873,0.05,Distribuidores
2024-07-26,Barranquilla,Ropa,Zapatos,18,209617,0.06,Catalogo
2024-01-16,Cali,Deportes,Colchoneta,16,71778,0.19,Catalogo
2024-03-26,Cali,Alimentos,Snack Saludable,9,12999,,E-commerce
21/08/2024,Bucaramanga,Electronica,Camara,2,-2152295,0.2,Distribuidores
2024-09-21,Bogota,Hogar,Microondas,3,470084,0.3,Catalogo
2024-04-25,Medellin,Deportes,Pesas,3,92525,0.28,E-commerce
2024-09-24,Bucaramanga,Ropa,Vestido,14,138506,0.09,Tienda Fisica
2024-03-02,Bucaramanga,Hogar,Cafetera,11,310968,,Catalogo
2024-07-08,Cali,Ropa,Jean,2,98860,0.08,Catalogo
2024-09-07,Barranquilla,Ropa,Chaqueta,6,173311,0.12,Catalogo
2024-07-23,Barranquilla,Ropa,Zapatos,11,221472,0.23,Tienda Fisica
2024-05-16,Medellin,Electronica,Tablet,9,1404911,0.02,Distribuidores
18/08/2024,Bucaramanga,Alimentos,Cafe Premium,11,33640,0.18,E-commerce
30/10/2024,Barranquilla,Hogar,Cafetera,1,312093,0.07,Catalogo
2024-03-05,Barranquilla,Ropa,Chaqueta,8,147608,,Tienda Fisica
2024-03-19,Bucaramanga,Deportes,Cuerda,11,25061,0.11,Distribuidores
2024-03-01,Medellin,Electronica,Camara,19,2251795,0.3,E-commerce
2024-10-19,Barranquilla,Ropa,Camiseta,7,48760,0.25,App Movil
2024-11-22,Medellin,Alimentos,Aceite de Oliva,4,28093,0.25,Tienda Fisica
2024-09-30,Medellin,Electronica,Laptop,1,3593605,0.26,Distribuidores
2024-07-13,Cali,Hogar,Plancha,1,133877,0.31,App Movil
07/06/2024,Barranquilla,Deportes,Colchoneta,6,69704,,Distribuidores
2024-12-02,Barranquilla,Hogar,Plancha,5,130229,0.34,Tienda Fisica
2024-11-01,Bucaramanga,Deportes,Cuerda,17,24877,0.32,E-commerce
2024-04-24,Bogota,Ropa,Jean,13,93296,0.3,E-commerce
2024-11-27,Bucaramanga,Ropa,Vestido,10,126700,0.04,App Movil
2024-11-25,Medellin,Electronica,Audifonos,10,338111,0.02,Catalogo
2024-12-23,Barranquilla,Ropa,Zapatos,1,251523,0.21,Tienda Fisica
2024-08-21,Bucaramanga,Ropa,Chaqueta,17,157513,0.31,App Movil
2024-11-09,Bucaramanga,Alimentos,Snack Saludable,18,11698,0.23,Tienda Fisica
2024-02-10,Barranquilla,Deportes,Tenis,10,284463,0.33,App Movil
2024-06-06,Barranquilla,Deportes,Pesas,20,88083,0.28,Tienda Fisica
2024-04-07,Bogota,Alimentos,Cafe Premium,11,32150,0.14,Catalogo
2024-07-14,Barranquilla,Deportes,Colchoneta,13,69005,0.34,Catalogo
2024-06-01,Bucaramanga,Electronica,Audifonos,16,390710,0.16,App Movil
2024-01-21,Medellin,Deportes,Colchoneta,8,68679,0.13,Catalogo
2024-11-12,Cali,Electronica,Smartwatch,18,761370,0.24,App Movil
02/06/2024,Medellin,Deportes,Bicicleta,8,1875013,0.3,App Movil
09/06/2024,Barranquilla,Alimentos,Proteina,19,89118,0.18,App Movil
2024-03-15,Bogota,Hogar,Aspiradora,14,741194,0.11,Distribuidores
2024-02-23,Medellin,Hogar,Cafetera,14,307876,0.33,App Movil
2024-11-18,Bucaramanga,Electronica,Smartwatch,16,864815,0.21,Tienda Fisica
2024-01-26,Bucaramanga,Alimentos,Proteina,4,86200,,E-commerce
24/11/2024,Cali,Alimentos,Snack Saludable,8,13214,0.24,Catalogo
2024-09-26,Barranquilla,Ropa,Chaqueta,7,171833,0.21,App Movil
2024-12-19,Bogota,Alimentos,Snack Saludable,7,12353,0.18,Distribuidores
2024-06-02,Bogota,Ropa,Camiseta,1,50053,0.23,Tienda Fisica
2024-08-11,Barranquilla,Hogar,Plancha,16,118439,0.12,Tienda Fisica
2024-12-03,Bucaramanga,Hogar,Plancha,6,129726,0.12,Distribuidores
15/06/2024,Medellin,Electronica,Camara,7,2076283,0.09,Catalogo
2024-01-04,Barranquilla,Hogar,Aspiradora,20,646732,0.3,Distribuidores
2024-02-22,Cali,Electronica,Camara,17,2229217,0.01,Tienda Fisica
2024-07-15,Bucaramanga,Ropa,Chaqueta,20,150138,,Tienda Fisica
2024-01-02,Barranquilla,Electronica,Tablet,20,1526217,0.01,Catalogo
18/02/2024,Bucaramanga,Ropa,Vestido,8,123871,0.3,Tienda Fisica
2024-06-15,Cali,Ropa,Vestido,14,143850,0.11,Catalogo
13/08/2024,Bogota,Alimentos,Aceite de Oliva,7,29998,0.05,E-commerce
2024-08-16,Medellin,Ropa,Chaqueta,20,168767,0.09,Tienda Fisica
2024-10-20,Medellin,Alimentos,Cafe Premium,6,30866,0.06,Tienda Fisica
2024-08-10,Cali,Ropa,Vestido,3,138813,0.14,Tienda Fisica
